Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
100,    0.001000,    9.999995,   -0.009807,***************,     0.49951858,***************,   0.0049951855
200,    0.002000,    9.999980,   -0.019613,***************,     1.99807431,***************,   0.0099903715
300,    0.003000,    9.999956,   -0.029420,***************,     4.49566721,***************,   0.0149855573
400,    0.004000,    9.999921,   -0.039227,***************,     7.99229726,***************,   0.0199807431
500,    0.005000,    9.999877,   -0.049033,***************,    12.48796447,***************,   0.0249759288
600,    0.006000,    9.999823,   -0.058840,***************,    17.98266883,***************,   0.0299711147
700,    0.007000,    9.999759,   -0.068647,***************,    24.47641035,***************,   0.0349663002
800,    0.008000,    9.999686,   -0.078453,***************,    31.96918903,***************,   0.0399614862
900,    0.009000,    9.999602,   -0.088260,***************,    40.46100487,***************,   0.0449566720
1000,    0.010000,    9.999509,   -0.098066,***************,    49.95185786,***************,   0.0499518578
1100,    0.011000,    9.999406,   -0.107873,***************,    60.44174802,***************,   0.0549470437
1200,    0.012000,    9.999293,   -0.117680,***************,    71.93067532,***************,   0.0599422292
1300,    0.013000,    9.999171,   -0.127486,***************,    84.41863979,***************,   0.0649374153
1400,    0.014000,    9.999038,   -0.137293,***************,    97.90564141,***************,   0.0699326009
1500,    0.015000,    9.998896,   -0.147100,***************,   112.39168019,***************,   0.0749277869
1600,    0.016000,    9.998744,   -0.156906,***************,   127.87675613,***************,   0.0799229725
1700,    0.017000,    9.998582,   -0.166713,***************,   144.36086923,***************,   0.0849181584
1800,    0.018000,    9.998410,   -0.176520,***************,   161.84401948,***************,   0.0899133441
1900,    0.019000,    9.998229,   -0.186326,***************,   180.32620689,***************,   0.0949085301
2000,    0.020000,    9.998038,   -0.196133,***************,   199.80743146,***************,   0.0999037159
2100,    0.021000,    9.997837,   -0.205940,***************,   220.28769318,***************,   0.1048989015
2200,    0.022000,    9.997626,   -0.215746,***************,   241.76699206,***************,   0.1098940873
2300,    0.023000,    9.997405,   -0.225553,***************,   264.24532810,***************,   0.1148892731
2400,    0.024000,    9.997175,   -0.235360,***************,   287.72270130,***************,   0.1198844590
2500,    0.025000,    9.996934,   -0.245166,***************,   312.19911165,***************,   0.1248796446
2600,    0.026000,    9.996684,   -0.254973,***************,   337.67455916,***************,   0.1298748306
2700,    0.027000,    9.996424,   -0.264780,***************,   364.14904383,***************,   0.1348700160
2800,    0.028000,    9.996154,   -0.274586,***************,   391.62256566,***************,   0.1398652020
2900,    0.029000,    9.995875,   -0.284393,***************,   420.09512464,***************,   0.1448603875
3000,    0.030000,    9.995586,   -0.294199,***************,   449.56672078,***************,   0.1498555737
3100,    0.031000,    9.995286,   -0.304006,***************,   480.03735408,***************,   0.1548507594
3200,    0.032000,    9.994977,   -0.313813,***************,   511.50702453,***************,   0.1598459451
3300,    0.033000,    9.994659,   -0.323619,***************,   543.97573214,***************,   0.1648411310
3400,    0.034000,    9.994330,   -0.333426,***************,   577.44347691,***************,   0.1698363167
3500,    0.035000,    9.993992,   -0.343233,***************,   611.91025884,***************,   0.1748315024
3600,    0.036000,    9.993644,   -0.353039,***************,   647.37607792,***************,   0.1798266883
3700,    0.037000,    9.993286,   -0.362846,***************,   683.84093416,***************,   0.1848218741
3800,    0.038000,    9.992918,   -0.372653,***************,   721.30482756,***************,   0.1898170598
3900,    0.039000,    9.992540,   -0.382459,***************,   759.76775812,***************,   0.1948122457
4000,    0.040000,    9.992153,   -0.392266,***************,   799.22972583,***************,   0.1998074313
4100,    0.041000,    9.991756,   -0.402073,***************,   839.69073070,***************,   0.2048026173
4200,    0.042000,    9.991348,   -0.411879,***************,   881.15077273,***************,   0.2097978030
4300,    0.043000,    9.990932,   -0.421686,***************,   923.60985191,***************,   0.2147929890
4400,    0.044000,    9.990505,   -0.431493,***************,   967.06796825,***************,   0.2197881745
4500,    0.045000,    9.990069,   -0.441299,***************,  1011.52512175,***************,   0.2247833604
4600,    0.046000,    9.989622,   -0.451106,***************,  1056.98131241,***************,   0.2297785461
4700,    0.047000,    9.989166,   -0.460913,***************,  1103.43654022,***************,   0.2347737323
4800,    0.048000,    9.988700,   -0.470719,***************,  1150.89080519,***************,   0.2397689180
4900,    0.049000,    9.988225,   -0.480526,***************,  1199.34410732,***************,   0.2447641036
5000,    0.050000,    9.987739,   -0.490332,***************,  1248.79644661,***************,   0.2497592893
5100,    0.051000,    9.987244,   -0.500139,***************,  1299.24782305,***************,   0.2547544751
5200,    0.052000,    9.986739,   -0.509946,***************,  1350.69823665,***************,   0.2597496611
5300,    0.053000,    9.986224,   -0.519752,***************,  1403.14768741,***************,   0.2647448470
5400,    0.054000,    9.985699,   -0.529559,***************,  1456.59617532,***************,   0.2697400326
5500,    0.055000,    9.985165,   -0.539366,***************,  1511.04370039,***************,   0.2747352181
5600,    0.056000,    9.984620,   -0.549172,***************,  1566.49026262,***************,   0.2797304041
5700,    0.057000,    9.984066,   -0.558979,***************,  1622.93586201,***************,   0.2847255899
5800,    0.058000,    9.983502,   -0.568786,***************,  1680.38049855,***************,   0.2897207758
5900,    0.059000,    9.982929,   -0.578592,***************,  1738.82417226,***************,   0.2947159617
6000,    0.060000,    9.982345,   -0.588399,***************,  1798.26688311,***************,   0.2997111474
6100,    0.061000,    9.981752,   -0.598206,***************,  1858.70863113,***************,   0.3047063331
6200,    0.062000,    9.981149,   -0.608012,***************,  1920.14941630,***************,   0.3097015189
6300,    0.063000,    9.980536,   -0.617819,***************,  1982.58923863,***************,   0.3146967047
6400,    0.064000,    9.979913,   -0.627626,***************,  2046.02809812,***************,   0.3196918905
6500,    0.065000,    9.979280,   -0.637432,***************,  2110.46599477,***************,   0.3246870764
6600,    0.066000,    9.978638,   -0.647239,***************,  2175.90292857,***************,   0.3296822619
6700,    0.067000,    9.977986,   -0.657046,***************,  2242.33889953,***************,   0.3346774479
6800,    0.068000,    9.977324,   -0.666852,***************,  2309.77390764,***************,   0.3396726334
6900,    0.069000,    9.976652,   -0.676659,***************,  2378.20795292,***************,   0.3446678194
7000,    0.070000,    9.975970,   -0.686465,***************,  2447.64103535,***************,   0.3496630052
7100,    0.071000,    9.975279,   -0.696272,***************,  2518.07315494,***************,   0.3546581912
7200,    0.072000,    9.974578,   -0.706079,***************,  2589.50431168,***************,   0.3596533767
7300,    0.073000,    9.973867,   -0.715885,***************,  2661.93450559,***************,   0.3646485626
7400,    0.074000,    9.973146,   -0.725692,***************,  2735.36373665,***************,   0.3696437483
7500,    0.075000,    9.972415,   -0.735499,***************,  2809.79200487,***************,   0.3746389343
7600,    0.076000,    9.971675,   -0.745305,***************,  2885.21931024,***************,   0.3796341200
7700,    0.077000,    9.970924,   -0.755112,***************,  2961.64565277,***************,   0.3846293058
7800,    0.078000,    9.970164,   -0.764919,***************,  3039.07103246,***************,   0.3896244913
7900,    0.079000,    9.969394,   -0.774725,***************,  3117.49544931,***************,   0.3946196771
8000,    0.080000,    9.968615,   -0.784532,***************,  3196.91890331,***************,   0.3996148632
8100,    0.081000,    9.967825,   -0.794339,***************,  3277.34139448,***************,   0.4046100489
8200,    0.082000,    9.967026,   -0.804145,***************,  3358.76292279,***************,   0.4096052347
8300,    0.083000,    9.966217,   -0.813952,***************,  3441.18348827,***************,   0.4146004203
8400,    0.084000,    9.965398,   -0.823759,***************,  3524.60309090,***************,   0.4195956063
8500,    0.085000,    9.964569,   -0.833565,***************,  3609.02173070,***************,   0.4245907919
8600,    0.086000,    9.963731,   -0.843372,***************,  3694.43940764,***************,   0.4295859779
8700,    0.087000,    9.962882,   -0.853179,***************,  3780.85612175,***************,   0.4345811637
8800,    0.088000,    9.962024,   -0.862985,***************,  3868.27187301,***************,   0.4395763495
8900,    0.089000,    9.961156,   -0.872792,***************,  3956.68666143,***************,   0.4445715352
9000,    0.090000,    9.960279,   -0.882598,***************,  4046.10048701,***************,   0.4495667210
9100,    0.091000,    9.959391,   -0.892405,***************,  4136.51334974,***************,   0.4545619069
9200,    0.092000,    9.958494,   -0.902212,***************,  4227.92524963,***************,   0.4595570927
9300,    0.093000,    9.957587,   -0.912018,***************,  4320.33618668,***************,   0.4645522784
9400,    0.094000,    9.956670,   -0.921825,***************,  4413.74616089,***************,   0.4695474639
9500,    0.095000,    9.955743,   -0.931632,***************,  4508.15517225,***************,   0.4745426500
9600,    0.096000,    9.954806,   -0.941438,***************,  4603.56322077,***************,   0.4795378356
9700,    0.097000,    9.953860,   -0.951245,***************,  4699.97030645,***************,   0.4845330217
9800,    0.098000,    9.952904,   -0.961052,***************,  4797.37642929,***************,   0.4895282075
9900,    0.099000,    9.951938,   -0.970858,***************,  4895.78158928,***************,   0.4945233933
10000,    0.100000,    9.950962,   -0.980665,***************,  4995.18578643,***************,   0.4995185790
10100,    0.101000,    9.949976,   -0.990472,***************,  5095.58902074,***************,   0.5045137649
10200,    0.102000,    9.948981,   -1.000278,***************,  5196.99129220,***************,   0.5095089505
10300,    0.103000,    9.947976,   -1.010085,***************,  5299.39260082,***************,   0.5145041364
10400,    0.104000,    9.946961,   -1.019892,***************,  5402.79294660,***************,   0.5194993219
10500,    0.105000,    9.945936,   -1.029698,***************,  5507.19232954,***************,   0.5244945076
10600,    0.106000,    9.944901,   -1.039505,***************,  5612.59074963,***************,   0.5294896933
10700,    0.107000,    9.943857,   -1.049312,***************,  5718.98820688,***************,   0.5344848788
10800,    0.108000,    9.942802,   -1.059118,***************,  5826.38470129,***************,   0.5394800648
10900,    0.109000,    9.941738,   -1.068925,***************,  5934.78023286,***************,   0.5444752501
11000,    0.110000,    9.940664,   -1.078732,***************,  6044.17480158,***************,   0.5494704359
11100,    0.111000,    9.939581,   -1.088538,***************,  6154.56840746,***************,   0.5544656215
11200,    0.112000,    9.938487,   -1.098345,***************,  6265.96105050,***************,   0.5594608072
11300,    0.113000,    9.937384,   -1.108151,***************,  6378.35273069,***************,   0.5644559929
11400,    0.114000,    9.936271,   -1.117958,***************,  6491.74344804,***************,   0.5694511784
11500,    0.115000,    9.935148,   -1.127765,***************,  6606.13320255,***************,   0.5744463643
11600,    0.116000,    9.934015,   -1.137571,***************,  6721.52199422,***************,   0.5794415500
